dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,23.299615384615393,4.8307692307692305,2022,6
Friday,1,20.035500000000003,4.896,2022,6
Friday,2,25.8836,4.680400000000001,2022,6
Friday,3,22.559565217391306,4.798695652173913,2022,6
Friday,4,22.97066666666667,4.731,2022,6
Friday,5,20.126451612903224,4.449999999999999,2022,6
Friday,6,17.387419354838713,4.534193548387097,2022,6
Friday,7,14.741538461538461,5.381025641025641,2022,6
Friday,8,12.831944444444447,5.183333333333332,2022,6
Friday,9,9.724333333333334,4.277333333333333,2022,6
Friday,10,10.01102564102564,4.440769230769232,2022,6
Friday,11,7.484411764705881,2.7199999999999993,2022,6
Friday,12,8.753103448275862,2.8313793103448277,2022,6
Friday,13,10.723199999999999,3.0136000000000007,2022,6
Friday,14,11.232894736842104,2.902368421052631,2022,6
Friday,15,10.805116279069766,3.0313953488372096,2022,6
Friday,16,16.035555555555554,4.677777777777777,2022,6
Friday,17,17.681388888888886,6.406388888888889,2022,6
Friday,18,18.297222222222224,7.060555555555556,2022,6
Friday,19,20.56935483870968,5.963548387096773,2022,6
Friday,20,19.54461538461538,7.495897435897434,2022,6
Friday,21,19.316216216216215,6.416756756756755,2022,6
Friday,22,16.370952380952385,5.195476190476189,2022,6
Friday,23,13.352173913043476,3.4504347826086956,2022,6
Monday,0,10.660952380952379,6.438571428571429,2022,6
Monday,1,9.14611111111111,5.373333333333333,2022,6
Monday,2,5.409200000000001,3.7028,2022,6
Monday,3,2.9633333333333334,2.2344444444444442,2022,6
Monday,4,2.67125,2.08125,2022,6
Monday,5,3.902142857142857,2.849285714285714,2022,6
Monday,6,4.779000000000001,3.376,2022,6
Monday,7,6.696363636363636,4.059090909090909,2022,6
Monday,8,5.223999999999999,3.124,2022,6
Monday,9,7.7075000000000005,5.395,2022,6
Monday,10,6.808333333333333,3.883333333333334,2022,6
Monday,11,4.923333333333333,2.9166666666666665,2022,6
Monday,12,4.217777777777778,2.48,2022,6
Monday,13,3.91625,1.8312500000000003,2022,6
Monday,14,3.096470588235294,1.2158823529411764,2022,6
Monday,15,3.2691666666666657,1.17,2022,6
Monday,16,2.881538461538462,1.2815384615384613,2022,6
Monday,17,3.2689999999999997,1.5469999999999997,2022,6
Monday,18,4.597142857142857,2.1342857142857143,2022,6
Monday,19,6.15888888888889,2.4383333333333335,2022,6
Monday,20,6.459999999999999,2.4361111111111113,2022,6
Monday,21,4.557916666666667,1.6866666666666668,2022,6
Monday,22,4.215416666666667,1.9008333333333332,2022,6
Monday,23,5.404782608695652,2.269565217391304,2022,6
Saturday,0,5.8645000000000005,3.2664999999999997,2022,6
Saturday,1,4.512307692307693,2.2276923076923074,2022,6
Saturday,2,4.873333333333333,2.0933333333333333,2022,6
Saturday,3,6.4972,2.9832000000000005,2022,6
Saturday,4,8.861666666666666,4.744999999999999,2022,6
Saturday,5,10.82,5.699199999999999,2022,6
Saturday,6,9.6044,4.9008,2022,6
Saturday,7,8.990000000000002,4.747083333333332,2022,6
Saturday,8,7.912608695652175,4.310434782608696,2022,6
Saturday,9,7.977499999999999,3.8143749999999996,2022,6
Saturday,10,7.545333333333333,3.5166666666666666,2022,6
Saturday,11,6.478,2.539,2022,6
