dayOfWeek,hourOfDay,P1
Friday,0,54.327755102
Friday,1,26.7514285714
Friday,2,24.4987628866
Friday,3,25.2388659794
Friday,4,25.8817171717
Friday,5,25.5794845361
Friday,6,26.7077319588
Friday,7,27.4358333333
Friday,8,26.5709183673
Friday,9,23.9368085106
Friday,10,20.2488297872
Friday,11,23.1615463918
Friday,12,22.1607142857
Friday,13,23.6108247423
Friday,14,23.2615151515
Friday,15,24.0219587629
Friday,16,24.9402040816
Friday,17,29.2552040816
Friday,18,32.6192857143
Friday,19,30.8370103093
Friday,20,27.3375510204
Friday,21,25.9757291667
Friday,22,24.9223232323
Friday,23,21.9578350515
Monday,0,28.9382653061
Monday,1,22.6786734694
Monday,2,21.5091752577
Monday,3,24.8865656566
Monday,4,19.9532989691
Monday,5,21.4437373737
Monday,6,21.5258510638
Monday,7,19.2411111111
Monday,8,17.7531958763
Monday,9,13.0806122449
Monday,10,10.7917346939
Monday,11,13.9769387755
Monday,12,14.4530927835
Monday,13,12.5551546392
Monday,14,7.73459183673
Monday,15,7.67145833333
Monday,16,11.1943877551
Monday,17,11.1091752577
Monday,18,15.9090816327
Monday,19,17.5960824742
Monday,20,17.4064285714
Monday,21,19.92
Monday,22,18.7817171717
Monday,23,19.7697938144
Saturday,0,23.7257291667
Saturday,1,20.4585714286
Saturday,2,22.0235714286
Saturday,3,20.1613265306
Saturday,4,17.0453061224
Saturday,5,15.991443299
Saturday,6,15.8684693878
Saturday,7,14.6868367347
Saturday,8,14.5754639175
Saturday,9,12.2751020408
Saturday,10,9.49103092784
Saturday,11,10.6633333333
Saturday,12,11.1289690722
Saturday,13,10.2086458333
Saturday,14,11.5717525773
Saturday,15,17.9320481928
Saturday,16,21.9335051546
Saturday,17,24.1095833333
Saturday,18,25.3574489796
Saturday,19,23.252755102
Saturday,20,26.1413265306
Saturday,21,32.8404081633
Saturday,22,32.0341836735
Saturday,23,31.5153061224
Sunday,0,30.8651020408
Sunday,1,34.2519387755
Sunday,2,38.5315306122
Sunday,3,38.8235714286
Sunday,4,36.3516326531
Sunday,5,35.558877551
Sunday,6,31.0254081633
Sunday,7,26.8530612245
Sunday,8,22.3195876289
Sunday,9,20.8809090909
Sunday,10,17.5627835052
Sunday,11,17.0034736842
Sunday,12,18.6119387755
Sunday,13,23.5988659794
Sunday,14,17.5758585859
Sunday,15,18.2102061856
Sunday,16,24.2239175258
Sunday,17,26.9034693878
Sunday,18,25.2608163265
Sunday,19,23.0998958333
Sunday,20,22.985
Sunday,21,26.8803125
Sunday,22,29.096969697
Sunday,23,29.6480412371
Thursday,0,24.8604958678
Thursday,1,26.9852845528
Thursday,2,34.481147541
Thursday,3,37.1326829268
Thursday,4,28.8887288136
Thursday,5,23.3708130081
Thursday,6,26.3497540984
Thursday,7,25.2647154472
Thursday,8,27.1428099174
Thursday,9,25.7889516129
Thursday,10,19.3604166667
Thursday,11,14.435840708
Thursday,12,15.6138842975
Thursday,13,12.7259663866
Thursday,14,11.0044067797
Thursday,15,11.774214876
Thursday,16,13.6623770492
Thursday,17,18.6779166667
Thursday,18,21.362295082
Thursday,19,31.3208130081
Thursday,20,35.679009009
Thursday,21,46.26
Thursday,22,42.2643801653
Thursday,23,46.4334146341
Tuesday,0,16.9019191919
Tuesday,1,16.9789690722
Tuesday,2,16.4252525253
Tuesday,3,17.7580412371
Tuesday,4,18.8733673469
Tuesday,5,18.6092783505
Tuesday,6,18.9256565657
Tuesday,7,20.5832989691
Tuesday,8,20.4416326531
Tuesday,9,18.8542857143
Tuesday,10,16.1397959184
Tuesday,11,9.27642857143
Tuesday,12,10.8070408163
Tuesday,13,8.9587755102
Tuesday,14,10.2271134021
Tuesday,15,9.9506122449
Tuesday,16,14.5860416667
Tuesday,17,16.1721212121
Tuesday,18,17.1733333333
Tuesday,19,18.0902083333
Tuesday,20,21.0211578947
Tuesday,21,20.9122
Tuesday,22,16.8123958333
Tuesday,23,13.9717
Wednesday,0,18.3652066116
Wednesday,1,11.9699180328
Wednesday,2,11.6415702479
Wednesday,3,12.4309090909
Wednesday,4,12.0286290323
Wednesday,5,10.9164166667
Wednesday,6,13.2506557377
Wednesday,7,19.231
Wednesday,8,20.3197580645
Wednesday,9,15.7211570248
Wednesday,10,12.3682258065
Wednesday,11,9.84966942149
Wednesday,12,10.5602912621
Wednesday,13,10.4665979381
Wednesday,14,11.241010101
Wednesday,15,12.8451546392
Wednesday,16,16.6432173913
Wednesday,17,26.6994166667
Wednesday,18,25.28544
Wednesday,19,32.751
Wednesday,20,32.6465322581
Wednesday,21,27.6799152542
Wednesday,22,26.2105737705
Wednesday,23,29.2385365854
